id,code,name,sequence,note
allergen_gluten,gluten,Céréales contenant du gluten,10,"Blé, épeautre, seigle, orge, avoine, kamut et leurs souches hybridées — et tout produit qui en dérive."
allergen_crustaces,crustaces,Crustacés,20,"Crevettes, langoustines, homard, crabe, écrevisse — et les produits qui en dérivent."
allergen_oeufs,oeufs,Œufs,30,"Y compris cachés : mayonnaise, pâtes fraîches, dorure, meringue, certaines glaces."
allergen_poissons,poissons,Poissons,40,"Y compris cachés : sauce Worcestershire, bouillons, tapenade à l'anchois."
allergen_arachides,arachides,Arachides,50,"Cacahuètes et produits dérivés — distinctes des fruits à coque."
allergen_soja,soja,Soja,60,"Sauce soja, tofu, lécithine de soja, protéines végétales texturées."
allergen_lait,lait,Lait,70,"Y compris le lactose : beurre, crème, fromage, petit-lait, caséine."
allergen_fruits_coque,fruits_coque,Fruits à coque,80,"Amandes, noisettes, noix, noix de cajou, de pécan, du Brésil, de Macadamia, pistaches."
allergen_celeri,celeri,Céleri,90,"Branche, rave, graines et sel de céleri — fréquent dans les fonds et bouillons."
allergen_moutarde,moutarde,Moutarde,100,"Graines, condiment, et les vinaigrettes ou marinades qui en contiennent."
allergen_sesame,sesame,Graines de sésame,110,"Graines, huile, tahini, pains et pâtisseries qui en sont parsemés."
allergen_sulfites,sulfites,Anhydride sulfureux et sulfites,120,"À déclarer au-delà de 10 mg/kg ou 10 mg/l exprimés en SO₂ : vin, fruits secs, pommes de terre préparées."
allergen_lupin,lupin,Lupin,130,"Farine de lupin, présente dans certains pains et pâtisseries sans gluten."
allergen_mollusques,mollusques,Mollusques,140,"Moules, huîtres, palourdes, escargots, calmars, poulpes, seiches."
